audio_path,feature_path,transcript,duration,phonemes
timit/raw/TRAIN/DR4/MMDM0/SI681.WAV,timit/features/TRAIN/DR4/MMDM0/SI681.npy,would such an act of refusal be useful,39936,h# w ix dcl s ah tcl ch ix n ae kcl t ix v r ix f y ux zh el bcl b iy y ux s f el h#
timit/raw/TRAIN/DR4/MMDM0/SX411.WAV,timit/features/TRAIN/DR4/MMDM0/SX411.npy,butterscotch fudge goes well with vanilla ice cream,56116,h# b ah dx axr s kcl k aa tcl ch f ah dcl jh pau g ow z w eh l w ax dh v ax nx ih l ax ay s kcl k r iy m h#
timit/raw/TRAIN/DR4/MMDM0/SX231.WAV,timit/features/TRAIN/DR4/MMDM0/SX231.npy,i honor my mom,25908,h# q aa q aa nx axr m aa m aa m h#
timit/raw/TRAIN/DR4/MMDM0/SX51.WAV,timit/features/TRAIN/DR4/MMDM0/SX51.npy,ambidextrous pickpockets accomplish more,44749,h# q ae m bcl b ix dcl d eh kcl k s tcl t r ih s pcl p ih kcl p aa kcl k ix tcl s ix kcl k aa m pcl p l ix sh epi m ao r h#
timit/raw/TRAIN/DR4/MMDM0/SX141.WAV,timit/features/TRAIN/DR4/MMDM0/SX141.npy,pledge to participate in nevadas aquatic competition,50586,h# p l eh zh tcl t ax-h pcl p axr tcl t ih s pcl p ey dx ih n ax v aa dx ix z ix kcl k w aa dx ix kcl k ah m pcl p tcl t ih sh ix n h#
timit/raw/TRAIN/DR4/MMDM0/SI1941.WAV,timit/features/TRAIN/DR4/MMDM0/SI1941.npy,well talk over at your office,29799,h# w el tcl t ao kcl k ow v axr ix tcl t y er aa f ax-h s h#
timit/raw/TRAIN/DR4/MMDM0/SI1311.WAV,timit/features/TRAIN/DR4/MMDM0/SI1311.npy,soil redeposition is evaluated by washing clean swatches with the dirty ones,86631,h# s ao l r iy dcl d eh pcl p ix z ih sh ix n pau ix z ix v aa y uw w ey dx ix dcl b ay w ao sh ix ng kcl k l iy n s epi w aa tcl ch ix z epi w ix dh ix dcl d er dx iy w en z h#
timit/raw/TRAIN/DR4/MMDM0/SX321.WAV,timit/features/TRAIN/DR4/MMDM0/SX321.npy,the groundhog clearly saw his shadow but stayed out only a moment,57242,h# dh gcl g r aw n hv ao gcl k l ih r l iy s ao ix sh ae dx ow pau b ix q s tcl t ey dx aw dx ow n l iy ax m ow m en tcl h#
timit/raw/TRAIN/DR4/MCSS0/SX300.WAV,timit/features/TRAIN/DR4/MCSS0/SX300.npy,amoebas change shape constantly,37991,h# ax m iy bcl b ih z tcl ch ey n dcl sh ey pcl k aa n s tcl t ix n q l iy h#
timit/raw/TRAIN/DR4/MCSS0/SX210.WAV,timit/features/TRAIN/DR4/MCSS0/SX210.npy,jeffs toy gocart never worked,37479,h# jh eh f s tcl t oy gcl g ow kcl k aa r tcl n eh v axr w er kcl t h#
timit/raw/TRAIN/DR4/MCSS0/SI750.WAV,timit/features/TRAIN/DR4/MCSS0/SI750.npy,add a few caraway seeds too if youd like,44237,h# ae dx ax f y ux kcl k eh r ah w ey s iy dcl z tcl t ux uh f y ux dcl d l ay kcl k h#
timit/raw/TRAIN/DR4/MCSS0/SI1380.WAV,timit/features/TRAIN/DR4/MCSS0/SI1380.npy,there is little doubt that the students benefit from vocational education,68608,h# dh eh er ih z l ih dx el dcl d aw tcl dh ih tcl dh ax s tcl t ux dcl en tcl t s bcl b eh nx ih f ih tcl f r ah m v ow kcl k ey sh en ax l eh dcl jh ax-h kcl k ey sh en h#
timit/raw/TRAIN/DR4/MCSS0/SX390.WAV,timit/features/TRAIN/DR4/MCSS0/SX390.npy,he picked up nine pairs of socks for each brother,47924,h# hh iy pcl p ih kcl t ah pcl n ay n pcl p eh r z ax s aa kcl k s f axr iy tcl ch bcl b r ah dh axr h#
timit/raw/TRAIN/DR4/MCSS0/SX30.WAV,timit/features/TRAIN/DR4/MCSS0/SX30.npy,get a calico cat to keep,32359,h# g ih dx ih kcl k ae l ih kcl k ow kcl k ae tcl t ax-h kcl k iy pcl p h#
timit/raw/TRAIN/DR4/MCSS0/SX120.WAV,timit/features/TRAIN/DR4/MCSS0/SX120.npy,the coyote bobcat and hyena are wild animals,58164,h# dh ix kcl k ay ow dx iy pau b aa bcl b kcl k ae tcl en hv ay iy n ah q aa r w aa l dx ae nx ix m el z h#
